name_and_cluster,numberOfAppearences
shakira|G3,0
shakira|G4,6
shakira|J1,15
shakira|J2,1
shakira|J3,6
shakira|J4,13
shakira|M1,1
shakira|M2,16
shakira|M3,7
shakira|M4,18
simba|A1,7
simba|A2,14
simba|A3,15
simba|D1,2
simba|D2,22
simba|D3,0
simba|G1,15
simba|G2,8
simba|G3,0
simba|G4,5
simba|J1,16
simba|J2,2
simba|J3,6
simba|J4,9
simba|M1,1
simba|M2,29
simba|M3,4
simba|M4,13
slinky|A1,0
slinky|A2,0
slinky|A3,0
slinky|D1,0
slinky|D2,0
slinky|D3,0
slinky|G1,0
slinky|G2,0
slinky|G3,0
slinky|G4,0
slinky|J1,0
slinky|J2,0
slinky|J3,0
slinky|J4,0
slinky|M1,1
slinky|M2,4
slinky|M3,1
slinky|M4,0
sully|A1,8
sully|A2,16
sully|A3,13
sully|D1,2
sully|D2,19
sully|D3,3
sully|G1,20
sully|G2,5
sully|G3,1
sully|G4,5
sully|J1,12
sully|J2,4
sully|J3,5
sully|J4,11
sully|M1,0
sully|M2,22
sully|M3,6
sully|M4,12
trixie|A1,0
trixie|A2,0
trixie|A3,0
trixie|D1,0
trixie|D2,0
trixie|D3,0
trixie|G1,0
trixie|G2,0
trixie|G3,0
trixie|G4,0
trixie|J1,0
trixie|J2,0
trixie|J3,0
trixie|J4,0
trixie|M1,0
trixie|M2,5
trixie|M3,0
trixie|M4,5
vision|A1,0
vision|A2,0
vision|A3,0
vision|D1,0
vision|D2,0
vision|D3,0
vision|G1,0
vision|G2,0
vision|G3,0
vision|G4,0
vision|J1,0
vision|J2,0
vision|J3,0
vision|J4,0
vision|M1,0
vision|M2,7
vision|M3,2
vision|M4,0
wanda|A1,0
wanda|A2,0
wanda|A3,0
wanda|D1,0
wanda|D2,0
wanda|D3,0
wanda|G1,0
wanda|G2,0
wanda|G3,0
wanda|G4,0
wanda|J1,0
wanda|J2,0
wanda|J3,0
wanda|J4,0
wanda|M1,0
wanda|M2,0
wanda|M3,1
wanda|M4,1
woody|A1,0
woody|A2,0
woody|A3,0
woody|D1,0
woody|D2,0
woody|D3,0
woody|G1,0
woody|G2,0
woody|G3,0
woody|G4,0
woody|J1,0
woody|J2,0
woody|J3,0
woody|J4,0
woody|M1,0
woody|M2,3
woody|M3,1
woody|M4,2
